Line #,Reward Date,Investment Amount,Reward Amount,Total Reward Amount Till that date, Staking Reward Rate
1,2020-10-13,10.000000,0.008219,0.000000,10.00%
2,2020-11-13,10.000000,0.084932,0.008219,10.00%
3,2020-12-13,10.000000,0.082192,0.093151,10.00%
4,2021-01-13,10.000000,0.084932,0.175342,10.00%
5,2021-02-13,10.000000,0.084932,0.260274,10.00%
6,2021-03-13,10.000000,0.076712,0.345205,10.00%
7,2021-04-13,10.000000,0.084932,0.421918,10.00%
8,2021-05-13,10.000000,0.082192,0.506849,10.00%
9,2021-06-13,10.000000,0.084932,0.589041,10.00%
10,2021-07-13,10.000000,0.082192,0.673973,10.00%
11,2021-08-13,10.000000,0.084932,0.756164,10.00%
12,2021-09-13,10.000000,0.084932,0.841096,10.00%
13,2021-10-13,10.000000,0.082192,0.926027,10.00%
14,2021-11-13,10.000000,0.084932,1.008219,10.00%
15,2021-12-13,10.000000,0.082192,1.093151,10.00%
16,2022-01-13,10.000000,0.084932,1.175342,10.00%
17,2022-02-13,10.000000,0.084932,1.260274,10.00%
18,2022-03-13,10.000000,0.076712,1.345205,10.00%
19,2022-04-13,10.000000,0.084932,1.421918,10.00%

